"countryid","countrycode","country","year","EN.ATM.CO2E.KT","EN.ATM.CO2E.PC","NY.GDP.PCAP.KD","NY.GDP.PCAP.KD.ZG","NY.GDP.MKTP.KD.ZG","EG.IMP.CONS.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.FO.ZS","GC.TAX.TOTL.GD.ZS","EG.GDP.PUSE.KO.PP.KD","NY.GDP.TOTL.RT.ZS","SE.XPD.TOTL.GD.ZS","EG.ELC.RNEW.ZS","EG.USE.PCAP.KG.OE","TX.VAL.FUEL.ZS.UN","NE.EXP.GNFS.ZS","NE.IMP.GNFS.ZS","SP.POP.TOTL","EN.CO2.TRAN.ZS","baseline1990","rescaled1990","baseline2000","rescaled2000","mean.preT","EN.ATM.CO2E.PC.demean"
69,"ISL","Iceland",2004,2244.204,7.68368290227819,40684.2636901647,7.12961829673517,8.07428868510618,24.0893859837468,61.8069885493144,24.0894510485188,24.9512690532141,3.60626161735058,0,7.21466016769409,99.9536124318683,10524.2507035888,0.519472286401188,32.6475282061436,38.0114957225362,292074,29.5154185022026,1998.515,1.12293577981651,2163.53,1.03728813559322,7.52706935510705,0.156613547171145
69,"ISL","Iceland",2005,2229.536,7.51358455721286,42604.4541982866,4.71973764290136,6.39052647523808,23.6589479198319,62.4655995724526,23.6590119589932,27.4243674217319,3.77624280152038,0,7.40943002700806,99.9424361040755,10524.8774997135,1.39730272433976,30.6226007979983,42.4993522969851,296734,30.0448430493274,1998.515,1.11559633027523,2163.53,1.03050847457627,7.52706935510705,-0.0134847978941854
70,"ISR","Israel",1980,21147.589,5.45322047447138,17555.3740500519,-0.741544087436779,1.6704416346857,98.0382206314713,NA,NA,35.8800308146147,NA,1.82541098186265,7.14989995956421,NA,2017.27694687984,0.0179463413512724,37.1506060234616,47.3380994786031,3878000,21.9628647214854,36295.966,0.582642958173368,60259.811,0.350940181342421,8.85969308071989,-3.40647260624851
70,"ISR","Israel",1981,21213.595,5.36238498483316,18128.1974152375,3.26295163835537,5.33992694206651,97.9385326648127,NA,NA,34.3759091433057,NA,1.61027338533737,7.09483003616333,NA,1840.73533872599,0.00813033213775123,35.9764130488481,47.8263927389297,3956000,20.8248472505092,36295.966,0.584461507375227,60259.811,0.352035538246212,8.85969308071989,-3.49730809588673
70,"ISR","Israel",1982,24081.189,5.973998759613,18161.4033592956,0.183172895227514,2.08249998500052,99.0008457081704,NA,NA,38.9840946077129,NA,0.109556127937084,6.66625022888184,NA,1958.31704291739,0.0048893602345234,31.0224954198126,42.1400759450389,4031000,21.2613473483039,36295.966,0.663467367144878,60259.811,0.399622710399805,8.85969308071989,-2.88569432110689
70,"ISR","Israel",1983,23938.176,5.83146796589525,18433.073989409,1.49586804906454,3.35910154835277,99.0754408240031,NA,NA,38.9656971902732,NA,0.0792288444732826,7.01447010040283,NA,1793.92204628502,0.00969072296865644,28.4821555599258,38.6559582564368,4105000,21.6253443526171,36295.966,0.659527177207517,60259.811,0.397249437108258,8.85969308071989,-3.02822511482464
70,"ISR","Israel",1984,23743.825,5.70902260158692,18363.5274608334,-0.37729208169786,0.933213698469814,99.2643289965646,NA,NA,37.4289349864969,NA,0.038565167897502,7.00283002853394,NA,1828.53907189228,0.00977085031625733,33.0366024280928,41.2106334495048,4159000,19.9823555359506,36295.966,0.654172560113154,60259.811,0.394024219558206,8.85969308071989,-3.15067047913297
70,"ISR","Israel",1985,24869.594,5.87516985589417,18770.8669750619,2.21819862821695,4.03694032056801,96.2738862376686,NA,97.2566373200588,35.1608399246025,NA,0.0636884913726209,8.0216703414917,NA,1788.99669265296,0.0105028844920792,37.0960837425543,42.8646131494643,4233000,20.3619909502262,36295.966,0.685188927055971,60259.811,0.412706140083977,8.85969308071989,-2.98452322482572
70,"ISR","Israel",1986,26626.087,6.19355361712026,19257.1403688908,2.59057503563858,4.19014459678957,96.225815499878,NA,97.0552212407006,34.1928181348784,NA,0.0209052685468466,6.13041019439697,NA,2102.24587113282,0.0171873838442179,32.7970783024725,37.2754845804056,4299000,19.7979041916168,36295.966,0.733582541927662,60259.811,0.441854804357086,8.85969308071989,-2.66613946359963
70,"ISR","Israel",1987,27385.156,6.26806042572671,20301.478541369,5.42312177443193,7.13971133577418,96.360293393778,NA,97.153719518345,31.4743495147562,NA,0.0114369965513724,5.52558994293213,NA,2278.47928587778,0.0138382322736053,32.3743669519557,40.5611115060563,4369000,19.7654363573646,36295.966,0.75449585774904,60259.811,0.454451408750685,8.85969308071989,-2.59163265499318
70,"ISR","Israel",1988,30051.065,6.76521049076992,20548.9107363374,1.21878903777457,2.9100162292961,96.5156549353551,NA,97.3943532321977,29.7203946969926,NA,0.00952698876593168,4.51100015640259,NA,2451.74583520937,0.56435246163703,29.1977903794363,34.4682044579918,4442000,19.3874226132291,36295.966,0.827945039401899,60259.811,0.498691657031583,8.85969308071989,-2.09448258994997
70,"ISR","Israel",1989,31756.22,7.02882248782647,20319.362637509,-1.11708159022989,0.574746820202932,96.5266026830163,NA,97.266792328934,27.8726070861496,NA,0.00920776776343848,5.70964002609253,NA,2488.92341744135,0.567293445811383,31.3939410158446,35.0795899699961,4518000,19.0297339593114,36295.966,0.874924227116589,60259.811,0.526988377046188,8.85969308071989,-1.83087059289342
70,"ISR","Israel",1990,36295.966,7.7888339055794,21141.296986775,4.0450793852596,7.31519918886889,96.3011988118721,5.80024515812053,97.0050765892807,26.8521074434892,8.3139313599894,0.00829237191065882,5.42505979537964,0.0143554407120299,2460.46545064378,0.663841606214657,29.7080192792937,34.642304125349,4660000,24.4742456568119,36295.966,1,60259.811,0.60232459076249,8.85969308071989,-1.07085917514049
70,"ISR","Israel",1991,36754.341,7.42661972115579,21444.7549767519,1.43538019529588,7.72611514732174,96.191607459746,6.02540083931582,97.0255851260567,20.1230441993384,8.92639855875774,0.00548584169264304,5.43766021728516,0.0278888165845496,2324.53930086886,0.57607387793085,25.4907834303685,33.3679225403909,4949000,24.9099639855942,36295.966,1.0126288139018,60259.811,0.609931235927706,8.85969308071989,-1.4330733595641
70,"ISR","Israel",1992,42790.223,8.35257134491509,22323.8353834212,4.09927932318332,7.75926610884386,96.5360732084101,6.24488071353934,97.1545734911898,26.6625482054952,8.36908622281282,0.00487499108676367,5.58196020126343,0.115335666560611,2580.9693538942,0.597438765651672,26.0263612525864,31.9857892320001,5123000,25.5133614627286,36295.966,1.17892503536068,60259.811,0.710095539463275,8.85969308071989,-0.507121735804803
70,"ISR","Israel",1993,45074.764,8.56771792434898,22633.1757221552,1.38569530468646,4.11675639233955,96.3786070577779,5.89105589727046,97.1197718494021,27.0200074055438,8.31209858645929,0.00433199432063671,5.95787000656128,0.0999423409571401,2634.6740163467,0.602984262158693,27.7499186525977,35.6501589262993,5261000,24.4364754098361,36295.966,1.24186704384724,60259.811,0.748007058966713,8.85969308071989,-0.291975156370913
70,"ISR","Israel",1994,48400.733,8.96475884423041,23692.8516158828,4.68195849639565,7.42784526174493,96.508581214803,5.64907818198587,97.2390362417161,27.4965985263107,8.37167912506665,0.0026015937932012,6.44068002700806,0.080917534477906,2738.39970364882,0.54427856014956,27.7555979912364,35.4066143026582,5399000,24.5161290322581,36295.966,1.33350171751869,60259.811,0.803200876285523,8.85969308071989,0.105065763510517
70,"ISR","Israel",1995,51099.645,9.21544544634806,24592.2481213905,3.79606693229289,6.60292482673906,96.4678851599284,5.43627427030068,97.2643397721347,27.047935974832,8.50969644669105,0.00318266942501918,NA,0.0821692686935086,2796.2515779982,0.024239685864457,27.4775046823328,35.2630238225147,5545000,25.0947180744373,36295.966,1.40786017377248,60259.811,0.847988803018317,8.85969308071989,0.355752365628167
70,"ISR","Israel",1996,53098.16,9.3285593815882,25230.3103063434,2.59456631131631,5.31438619369024,96.5070540409037,5.44661308180387,97.2529047360472,26.3455743892204,8.71503742395375,0.00381517316113848,NA,0.0737757830991977,2801.2083626142,0.512665001678015,27.060774386159,34.2255966662471,5692000,25.2709883103082,36295.966,1.46292180238432,60259.811,0.88115377593866,8.85969308071989,0.468866300868306
70,"ISR","Israel",1997,55881.413,9.57529352296093,25508.7537562777,1.10360691784388,3.66139317859044,96.5268776244457,5.69790780290493,97.3075124009286,26.6200398784036,8.56680172658839,0.00414493845963019,NA,0.0712250712250712,2881.12834132968,0.526173932605526,27.8852902929613,32.5743229856981,5836000,25.710804224208,36295.966,1.53960396039604,60259.811,0.927341325381854,8.85969308071989,0.715600442241037
70,"ISR","Israel",1998,57095.19,9.56208172835371,25970.8337825567,1.81145668931487,4.16658805550018,96.5156439333507,6.07462712345721,97.1587296677268,25.6856381834763,8.70808785586385,0.00276402753855863,6.65232992172241,0.0658674746410223,2885.72651147211,0.50382234512273,28.5744641660037,31.1794446172602,5971000,23.9099574122896,36295.966,1.573045059608,60259.811,0.947483721779346,8.85969308071989,0.702388647633818
70,"ISR","Israel",1999,55694.396,9.0929626122449,26233.3055853633,1.01064064790613,3.6158388826704,96.4186952105887,5.86872888096563,97.1662216791979,25.5510307945665,9.27157309555233,0.00386920022879597,6.41908979415894,0.0841514726507714,2737.73665306122,0.522064811085544,32.6204598833597,35.1616285854428,6125000,24.7140039447732,36295.966,1.53445140432411,60259.811,0.924237814154445,8.85969308071989,0.233269531525007
70,"ISR","Israel",2000,60259.811,9.58177945619335,27636.340773557,5.34829735287514,8.16905176362968,96.4790467999825,5.97064052127847,97.2073148835389,27.122833010474,9.22275127055866,0.00194841884669939,6.11819982528687,0.0726659009399686,2899.42661790428,0.0239573909379027,35.5696067018035,35.6644940749015,6289000,24.3662228706912,36295.966,1.66023439078602,60259.811,1,8.85969308071989,0.722086375473458
70,"ISR","Israel",2001,63596.781,9.8768102189781,26999.3650619858,-2.30484823150175,0.0252953152107125,96.4864693470164,6.29768607506162,97.1541033781734,26.6823350931878,8.78707800492858,0.00103329710477696,6.37935018539429,0.0455052217241929,2973.04270849511,0.0245036387043095,31.3130077787636,33.705356427749,6439000,23.6457590876693,36295.966,1.75217215599111,60259.811,1.05537637680277,8.85969308071989,1.01711713825821
70,"ISR","Israel",2002,59812.437,9.10387168949772,26503.8433509477,-1.83530875596719,0.16182970543494,96.23412585158,6.51773974931386,96.910142228797,25.7250360748864,8.95798998719,0.00222573875395946,6.46928977966309,0.0703296703296703,2862.79573820396,0.0401506960769866,32.8997868847851,35.8157434933829,6570000,23.3080168776371,36295.966,1.64790866841786,60259.811,0.992575914318749,8.85969308071989,0.244178608777826
70,"ISR","Israel",2003,62889.05,9.40087746834686,26229.3997666786,-1.0354859883342,0.767566116261904,96.2563992228053,6.52065031504906,96.9267106049766,24.9824402720763,8.60520892045325,0.000875608098358422,6.35458993911743,0.091409621394103,2949.30041705906,0.0382678466076696,34.6587639250095,35.4161774222895,6689700,23.4300705033612,36295.966,1.73267326732673,60259.811,1.04363171666768,8.85969308071989,0.541184387626966
